WKT,name,description
"POLYGON ((-79.475312 43.804919, -79.470334 43.787696, -79.353604 43.8126, -79.369569 43.833778, -79.429478 43.837369, -79.436945 43.871412, -79.467759 43.865099, -79.4641 43.848161, -79.488446 43.847924, -79.501632 43.839638, -79.478452 43.822788, -79.475312 43.804919))",Polygon 43,
"POLYGON ((-79.46187 43.725991, -79.452705 43.731535, -79.465459 43.758676, -79.471182 43.786312, -79.474272 43.820754, -79.501632 43.839638, -79.554438 43.825584, -79.539461 43.797278, -79.5477 43.780053, -79.581861 43.764931, -79.580658 43.756748, -79.565725 43.748564, -79.538946 43.751416, -79.533109 43.75588, -79.547186 43.769146, -79.523668 43.774848, -79.506502 43.75278, -79.47217 43.733434, -79.46187 43.725991))",Polygon 46,
"POLYGON ((-79.4363118 43.6995327, -79.446075 43.716994, -79.446617 43.726944, -79.45972 43.726858, -79.50624 43.751787, -79.523668 43.774848, -79.547186 43.769146, -79.530546 43.755393, -79.543491 43.751167, -79.562374 43.746455, -79.580913 43.758607, -79.627262 43.749679, -79.623485 43.719911, -79.538513 43.710109, -79.495377 43.678321, -79.459471 43.69306, -79.4363118 43.6995327))",Polygon 47,
"POLYGON ((-79.51118 43.883924, -79.567316 43.887232, -79.607122 43.895716, -79.62876 43.92817, -79.681844 43.924275, -79.661921 43.852364, -79.686617 43.833423, -79.623446 43.747175, -79.554782 43.776434, -79.541735 43.797749, -79.555468 43.823515, -79.478907 43.851499, -79.51118 43.883924))",Vaughn,
"POLYGON ((-79.546692 43.910474, -79.55424 43.888458, -79.501373 43.88524, -79.48661 43.862223, -79.439232 43.873609, -79.418542 43.840354, -79.371254 43.840684, -79.390823 43.937922, -79.546692 43.910474))",Polygon 29,
"POLYGON ((-79.393866 43.803654, -79.375108 43.795025, -79.376093 43.784661, -79.36176 43.7692, -79.345114 43.76852, -79.172423 43.801238, -79.215653 43.874742, -79.3664 43.834185, -79.346897 43.808505, -79.353604 43.8126, -79.393866 43.803654))",Polygon 32,
"POLYGON ((-79.396925 43.802995, -79.469023 43.786019, -79.461944 43.770919, -79.448595 43.77003, -79.430056 43.755897, -79.415121 43.751433, -79.394526 43.762905, -79.362078 43.767675, -79.376666 43.782485, -79.380013 43.794242, -79.388854 43.797325, -79.396925 43.802995))",Polygon 37,
"POLYGON ((-79.387956 43.924548, -79.36873 43.845614, -79.357057 43.839671, -79.206338 43.878536, -79.213891 43.903031, -79.209771 43.932708, -79.211831 43.972007, -79.238954 43.992017, -79.289765 43.976701, -79.390823 43.937922, -79.385375 43.927765, -79.387956 43.924548))",Polygon 38,
"POLYGON ((-79.345387 43.765932, -79.36015 43.746342, -79.350532 43.718807, -79.314488 43.72476, -79.215439 43.728978, -79.132183 43.780807, -79.181622 43.800881, -79.345387 43.765932))",Polygon 39,
"POLYGON ((-79.215439 43.728978, -79.312941 43.724016, -79.3277 43.722578, -79.327353 43.708584, -79.357558 43.69434, -79.369812 43.672692, -79.39292 43.672242, -79.380505 43.660497, -79.372149 43.645914, -79.344168 43.653988, -79.266957 43.669642, -79.215439 43.728978))",Polygon 40,
